id,easting,northing,lat,lon,ws10,ws25,ws45
336,214500,90500,50.67931433,-4.633048916,6.1,6.9,7.5
337,215500,90500,50.67963311,-4.618908549,6.8,7.5,8
338,216500,90500,50.67995017,-4.604767927,6.1,6.9,7.5
339,217500,90500,50.68026551,-4.590627051,5.5,6.3,7
340,218500,90500,50.68057915,-4.576485922,6.1,6.9,7.4
341,219500,90500,50.68089106,-4.562344542,6.8,7.4,7.8
342,220500,90500,50.68120127,-4.548202913,5.9,6.7,7.2
343,221500,90500,50.68150976,-4.534061034,4.9,5.7,6.4
344,222500,90500,50.68181653,-4.519918909,4.9,5.7,6.3
345,223500,90500,50.68212159,-4.505776538,4.9,5.7,6.3
346,224500,90500,50.68242494,-4.491633923,4.8,5.6,6.2
347,225500,90500,50.68272657,-4.477491064,4.9,5.7,6.3
348,226500,90500,50.68302648,-4.463347964,5.3,6,6.6
349,227500,90500,50.68332469,-4.449204624,5.3,6,6.6
350,228500,90500,50.68362117,-4.435061045,5,5.8,6.4
351,229500,90500,50.68391595,-4.420917228,5.1,5.9,6.4
352,230500,90500,50.684209,-4.406773175,5.3,6,6.5
353,231500,90500,50.68450035,-4.392628888,5,5.8,6.4
354,232500,90500,50.68478997,-4.378484367,5.1,5.8,6.4
355,233500,90500,50.68507789,-4.364339614,4.8,5.6,6.1
356,204500,89500,50.66704911,-4.773908379,5.6,6.2,6.8
357,205500,89500,50.66738491,-4.759773333,5.2,6,6.6
358,206500,89500,50.667719,-4.745638017,4.7,5.6,6.3
359,207500,89500,50.66805138,-4.731502435,4.8,5.7,6.4
360,208500,89500,50.66838205,-4.717366586,5.8,6.7,7.3
361,209500,89500,50.668711,-4.703230472,6.6,7.3,7.8
362,210500,89500,50.66903824,-4.689094095,6.8,7.5,7.9
363,211500,89500,50.66936376,-4.674957456,6.7,7.4,7.9
364,212500,89500,50.66968757,-4.660820556,6.4,7.2,7.7
365,213500,89500,50.67000967,-4.646683397,6.6,7.3,7.8
366,214500,89500,50.67033006,-4.632545981,6.8,7.5,8
367,215500,89500,50.67064873,-4.618408307,6.7,7.4,8
368,216500,89500,50.67096569,-4.604270379,6.1,6.9,7.5
369,217500,89500,50.67128094,-4.590132196,6,6.8,7.4
370,218500,89500,50.67159447,-4.575993762,6.6,7.3,7.7
371,219500,89500,50.67190629,-4.561855076,6.2,7,7.5
372,220500,89500,50.67221639,-4.54771614,5.2,6.1,6.7
373,221500,89500,50.67252478,-4.533576957,5,5.9,6.5
